年份,民办高等教育在校生数,民办高校在校生数,民办高校本科在校生数,民办高校专科在校生数,民办独立学院在校生数,民办独立学院本科在校生数,民办独立学院专科在校生数,民办其他高等教育机构在校生数,民办中等教育在校生数,民办高中阶段教育在校生数,民办普通高中在校生数,民办中等职业教育在校生数,民办初中阶段教育在校生数,民办普通初中在校生数,民办职业初中在校生数,民办普通小学在校生数,民办幼儿园在校生数,民办培训机构在校生数
2021,,,,,,,,,,,,,,,,,,
2020,,,,,,,,7.5528,,,401.2899,,,,0.0062,966.0348,2378.5506,989.6564
2019,,,,,,,,9.0103,,,359.6765,,,,0.0091,944.9051,2649.4401,1075.4715
2018,,,,,,,,8.5017,,,328.2687,,,,0.0101,884.5746,2639.7847,910.0988
2017,,899.8533,404.7501,246.4354,248.4741,238.3463,10.1278,,,,306.2608,222.2091,577.6835,577.6778,,814.172,2572.3434,901.4369
2016,,,,,,,,75.5553,,,279.0794,,,,0.0051,756.3291,2437.6589,846.7955
2015,,610.9013,383.3316,227.5188,259.4243,247.6834,11.7409,,,440.3302,256.9644,183.3658,502.9261,502.9229,,713.8225,2302.4429,
2014,,587.1547,374.8336,212.2803,269.0625,255.4396,13.6229,,,428.2286,238.6542,189.5744,487.0018,486.995,,674.1425,2125.3781,
2013,,557.5218,361.6363,195.852,275.8465,260.8259,15.0206,,,439.5853,231.6445,207.9408,462.3482,462.3482,,628.6015,1990.2536,
2012,,533.177,341.2257,191.9358,278.3983,262.1493,16.249,,,475.8375,234.9575,240.88,451.4091,451.4091,,597.8535,1852.7444,
2011,,505.0687,311.8236,193.2451,267.4448,249.871,17.5738,,,504.2345,234.9833,269.2512,442.5616,442.5616,,567.8255,1694.209,
2010,,476.6845,280.9884,195.6961,260.3177,238.9774,21.3403,,,537.0649,230.0706,306.9943,442.1129,442.1129,,537.6255,1399.4694,
2009,,446.1395,252.4755,193.664,241.3707,219.0096,22.3611,,,548.2256,230.1299,318.0957,433.981,433.8852,0.0958,502.8766,1134.1694,
2008,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
