年份,成人专科招生数,成人高等学校办成人专科招生数,成人高等学校办师范成人专科招生数,成人高等学校办农林牧渔大类成人专科招生数,成人高等学校办交通运输大类成人专科招生数,成人高等学校办生化与药品大类成人专科招生数,成人高等学校办资源开发与测绘大类成人专科招生数,成人高等学校办材料与能源大类成人专科招生数,成人高等学校办土建大类成人专科招生数,成人高等学校办水利大类成人专科招生数,成人高等学校办制造大类成人专科招生数,成人高等学校办电子信息大类成人专科招生数,成人高等学校办环保、气象与安全大类成人专科招生数,成人高等学校办轻纺食品大类成人专科招生数,成人高等学校办财经大类成人专科招生数,成人高等学校办医药卫生大类成人专科招生数,成人高等学校办旅游大类成人专科招生数,成人高等学校办公共事业大类成人专科招生数,成人高等学校办文化教育大类成人专科招生数,成人高等学校办艺术设计传媒大类成人专科招生数,成人高等学校办公安大类成人专科招生数,成人高等学校办法律大类成人专科招生数,普通高等学校办成人专科招生数,普通高等学校办师范成人专科招生数,普通高等学校办农林牧渔大类成人专科招生数,普通高等学校办交通运输大类成人专科招生数,普通高等学校办生化与药品大类成人专科招生数,普通高等学校办资源开发与测绘大类成人专科招生数,普通高等学校办材料与能源大类成人专科招生数,普通高等学校办土建大类成人专科招生数,普通高等学校办水利大类成人专科招生数,普通高等学校办制造大类成人专科招生数,普通高等学校办电子信息大类成人专科招生数,普通高等学校办环保、气象与安全大类成人专科招生数,普通高等学校办轻纺食品大类成人专科招生数,普通高等学校办财经大类成人专科招生数,普通高等学校办医药卫生大类成人专科招生数,普通高等学校办旅游大类成人专科招生数,普通高等学校办公共事业大类成人专科招生数,普通高等学校办文化教育大类成人专科招生数,普通高等学校办艺术设计传媒大类成人专科招生数,普通高等学校办公安大类成人专科招生数,普通高等学校办法律大类成人专科招生数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,174.1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,151.6568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,133.2739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,115.1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,114.2903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,135.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,155.3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,152.6776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,145.4734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,128.79,15.5375,1.0255,0.0756,0.4869,0.0899,0.4552,0.1673,0.84,0.072,1.9724,1.0868,0.066,0.0519,4.4926,1.5797,0.308,0.5937,2.3624,0.5995,0.0012,0.2364,113.2525,6.7062,2.5288,3.9589,1.3014,3.3081,1.0875,8.4319,0.5424,13.9845,8.5517,0.2167,0.7553,30.685,17.3913,1.9121,3.1513,11.2944,2.7154,0.1248,1.311
2010,123.094,16.2952,,,,,,,,,,,,,,,,,,,,,106.7988,,,,,,,,,,,,,,,,,,,,
2009,119.8981,18.5372,,,,,,,,,,,,,,,,,,,,,101.3609,,,,,,,,,,,,,,,,,,,,
2008,119.419,18.7789,,,,,,,,,,,,,,,,,,,,,100.6401,,,,,,,,,,,,,,,,,,,,
2007,109.0274,19.4865,,,,,,,,,,,,,,,,,,,,,89.5409,,,,,,,,,,,,,,,,,,,,
2006,106.6754,19.7148,,,,,,,,,,,,,,,,,,,,,86.9606,,,,,,,,,,,,,,,,,,,,
2005,118.3054,24.2657,,,,,,,,,,,,,,,,,,,,,94.0397,,,,,,,,,,,,,,,,,,,,
2004,145.2146,36.6855,,,,,,,,,,,,,,,,,,,,,108.5291,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
