年份,普通专科在校生数,师范普通专科在校学生数,农林牧渔大类普通专科在校学生数,交通运输大类普通专科在校学生数,生化与药品大类普通专科在校学生数,资源开发与测绘大类普通专科在校学生数,材料与能源大类普通专科在校学生数,土建大类普通专科在校学生数,水利大类普通专科在校学生数,制造大类普通专科在校学生数,电子信息大类普通专科在校学生数,环保、气象与安全大类普通专科在校学生数,轻纺食品大类普通专科在校学生数,财经大类普通专科在校学生数,医药卫生大类普通专科在校学生数,旅游大类普通专科在校学生数,公共事业大类普通专科在校学生数,文化教育大类普通专科在校学生数,艺术设计传媒大类普通专科在校学生数,公安大类普通专科在校学生数,法律大类普通专科在校学生数
2021,,,,,,,,,,,,,,,,,,,,,
2020,1459.5488,,,,,,,,,,,,,,,,,,,,
2019,1280.7058,,,,,,,,,,,,,,,,,,,,
2018,1133.7005,,,,,,,,,,,,,,,,,,,,
2017,1105.0,,,,,,,,,,,,,,,,,,,,
2016,1082.9,,,,,,,,,,,,,,,,,,,,
2015,1048.6,61.766,17.4872,56.2145,21.2211,12.3797,12.1269,118.1981,4.4672,135.9361,98.0799,4.5208,15.662,222.01,117.8214,32.9658,10.4543,106.2055,48.789,3.2747,10.7978
2014,1006.6,52.5662,17.0247,50.7136,21.1106,13.8748,12.0998,120.0394,4.4497,129.1512,90.6667,4.4671,15.5289,213.8322,108.5522,32.5576,10.0812,101.2786,46.7176,3.393,11.0957
2013,973.6,52.1576,16.9938,46.6262,21.7477,14.5409,12.5455,113.8612,4.2744,124.2864,89.2212,4.4913,15.9004,207.8204,99.542,32.092,9.6907,99.2417,45.703,3.4675,11.591
2012,964.2,52.3269,16.9578,43.6213,22.6845,14.8207,13.1878,105.0469,4.042,126.1946,93.1847,4.5583,16.6629,206.1042,92.5804,32.2801,9.7116,101.5735,45.8232,3.2359,11.9563
2011,958.9,52.4926,17.2439,40.142,23.758,14.0031,13.7167,95.0137,3.74,127.9609,100.6014,4.5397,17.8163,203.208,86.3942,32.3212,9.7928,105.9178,46.3522,3.6524,12.6758
2010,966.2,,,,,,,,,,,,,,,,,,,,
2009,964.8,,,,,,,,,,,,,,,,,,,,
2008,916.8,,,,,,,,,,,,,,,,,,,,
2007,860.6,,,,,,,,,,,,,,,,,,,,
2006,795.5,,,,,,,,,,,,,,,,,,,,
2005,713.0,,,,,,,,,,,,,,,,,,,,
2004,595.7,,,,,,,,,,,,,,,,,,,,
2003,479.4,,,,,,,,,,,,,,,,,,,,
2002,193.4,,,,,,,,,,,,,,,,,,,,
2001,146.8,,,,,,,,,,,,,,,,,,,,
2000,100.9,,,,,,,,,,,,,,,,,,,,
