年份,普通高中在校学生数,教育部门办普通高中在校学生数,其他部门办普通高中在校学生数,地方企业办普通高中在校学生数,民办普通高中在校学生数,城市普通高中在校学生数,城市教育部门办普通高中在校学生数,城市其他部门办普通高中在校学生数,城市地方企业办普通高中在校学生数,城市民办普通高中在校学生数,县镇普通高中在校学生数,县镇教育部门办普通高中在校学生数,县镇其他部门办普通高中在校学生数,县镇地方企业办普通高中在校学生数,县镇民办普通高中在校学生数,农村普通高中在校学生数,农村教育部门办普通高中在校学生数,农村其他部门办普通高中在校学生数,农村地方企业办普通高中在校学生数,农村民办普通高中在校学生数
2021,2605.0,,,,,,,,,,,,,,,,,,,
2020,2494.4529,,,,401.2899,,,,,,,,,,,,,,,
2019,2414.305,,,,359.6765,,,,,,,,,,,,,,,
2018,2375.4,,,,328.2687,,,,,,,,,,,,,,,
2017,2374.5,,,,306.2608,,,,,,,,,,,,,,,
2016,2366.6,,,,279.0794,,,,,,,,,,,,,,,
2015,2374.4,2099.9419,16.9926,0.5003,256.9644,1098.776,957.5596,8.2111,0.2809,132.7244,1198.6174,1081.2984,8.0849,0.2194,109.0147,77.0058,61.0839,0.6966,,15.2253
2014,2400.5,2143.962,17.2301,0.626,238.6542,1113.9584,978.8649,8.2856,0.3987,126.4092,1207.9068,1101.3263,8.2236,0.2273,98.1296,78.6071,63.7708,0.7209,,14.1154
2013,2435.9,2186.0183,17.2592,0.9597,231.6445,1114.4953,986.5215,8.339,0.4695,119.1653,1239.8955,1133.4432,8.4567,0.4902,97.5054,81.4909,66.0536,0.4635,,14.9738
2012,2467.2,2212.9445,18.2119,1.0573,234.9575,1119.6088,990.6714,8.5672,0.4814,119.8888,1264.1342,1153.0198,8.901,0.5759,101.6375,83.4282,69.2533,0.7437,,13.4312
2011,2454.8,2198.578,19.2639,1.9975,234.9833,1098.7519,966.4166,10.0459,0.8298,121.4596,1252.7046,1144.4593,8.7426,1.1191,98.3836,103.3662,87.7021,0.4754,0.0486,15.1401
2010,2427.3,2175.766,21.4985,,230.0706,858.2032,748.4529,10.4838,,99.2665,1406.2284,1289.0695,5.7747,,111.3842,162.9035,138.2436,5.24,,19.4199
2009,2434.3,2181.7187,22.4297,,230.1299,865.6221,755.693,11.519,,98.4101,1394.5001,1276.8853,5.6005,,112.0143,174.1561,149.1404,5.3102,,19.7055
2008,2476.3,2208.4902,27.4957,,240.2983,877.1418,760.544,15.0566,,101.5412,1407.0082,1282.8331,5.8711,,118.304,192.1342,165.1131,6.568,,20.4531
2007,2522.4,2239.1994,37.2453,,245.9561,893.2723,765.8508,21.6812,,105.7403,1419.8003,1292.0992,8.0945,,119.6066,209.3282,181.2494,7.4696,,20.6092
2006,2514.5,2218.374,48.4067,,247.716,811.9882,680.1826,28.4378,,103.3678,1470.4187,1337.9652,11.5253,,120.9282,232.0898,200.2262,8.4436,,23.42
2005,2409.1,2115.4117,66.9007,,226.7777,843.4123,696.1415,43.9912,,103.2796,1332.0026,1214.9038,13.2347,,103.8641,233.6752,204.3664,9.6748,,19.634
2004,2220.4,1953.3817,82.2569,,184.7315,798.2201,650.8977,58.3127,,89.0097,1167.0174,1071.6281,13.5649,,81.8244,255.1326,230.8559,10.3793,,13.8974
2003,1964.8,,,,,709.0958,,,,,1045.3499,,,,,210.3804,,,,
2002,1683.8,,,,,594.6777,,,,,902.5532,,,,,186.5796,,,,
2001,1405.0,,,,,503.6141,,,,,743.3742,,,,,157.9834,,,,
2000,1201.3,,,,,462.3869,,,,,581.0662,,,,,157.8112,,,,
