年份,网络专科生在校生数,师范网络专科在校学生数,农林牧渔大类网络专科在校学生数,交通运输大类网络专科在校学生数,生化与药品大类网络专科在校学生数,资源开发与测绘大类网络专科在校学生数,材料与能源大类网络专科在校学生数,土建大类网络专科在校学生数,水利大类网络专科在校学生数,制造大类网络专科在校学生数,电子信息大类网络专科在校学生数,环保、气象与安全大类网络专科在校学生数,轻纺食品大类网络专科在校学生数,财经大类网络专科在校学生数,医药卫生大类网络专科在校学生数,旅游大类网络专科在校学生数,公共事业大类网络专科在校学生数,文化教育大类网络专科在校学生数,艺术设计传媒大类网络专科在校学生数,公安大类网络专科在校学生数,法律大类网络专科在校学生数
2021,,,,,,,,,,,,,,,,,,,,,
2020,535.2565,,,,,,,,,,,,,,,,,,,,
2019,563.6735,,,,,,,,,,,,,,,,,,,,
2018,543.0796,,,,,,,,,,,,,,,,,,,,
2017,477.1929,,,,,,,,,,,,,,,,,,,,
2016,411.0059,,,,,,,,,,,,,,,,,,,,
2015,398.9864,3.7435,19.3591,5.874,1.2576,3.3507,1.108,39.5771,2.0962,26.8356,17.557,0.7089,0.3056,118.2267,18.3248,2.3895,78.2519,37.9372,2.8232,0.2027,22.8006
2014,402.7462,2.66,19.8903,8.8024,1.2351,4.0927,1.0792,39.6924,2.0548,21.5971,17.0688,0.7887,0.2827,121.538,17.7215,2.2595,79.3387,38.2987,3.0948,0.2121,23.6987
2013,397.1306,4.048,21.344,8.4336,1.1543,3.9718,1.0287,35.5818,2.0089,19.0592,17.2766,0.8222,0.3646,121.5227,16.3984,2.1322,78.5008,38.8541,3.1034,0.2036,25.3697
2012,370.1414,5.1977,21.5762,7.3178,1.0701,3.2203,1.0941,28.3677,1.8377,15.995,17.0509,0.6707,0.2322,118.9683,15.3389,1.8765,70.8492,36.074,1.9931,0.2153,26.3934
2011,317.0073,5.2299,18.9416,6.1402,0.8676,2.3784,1.4797,21.8003,1.7783,13.2861,15.7007,0.4388,0.1863,102.2089,14.9372,1.6606,57.7559,30.1493,2.9315,0.2195,24.1464
2010,289.104,,,,,,,,,,,,,,,,,,,,
2009,260.0079,,,,,,,,,,,,,,,,,,,,
2008,211.2241,,,,,,,,,,,,,,,,,,,,
2007,173.5709,,,,,,,,,,,,,,,,,,,,
2006,149.6052,,,,,,,,,,,,,,,,,,,,
2005,138.0387,,,,,,,,,,,,,,,,,,,,
2004,109.545,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
