年份,网络专科招生数,师范网络专科招生数,农林牧渔大类网络专科招生数,交通运输大类网络专科招生数,生化与药品大类网络专科招生数,资源开发与测绘大类网络专科招生数,材料与能源大类网络专科招生数,土建大类网络专科招生数,水利大类网络专科招生数,制造大类网络专科招生数,电子信息大类网络专科招生数,环保、气象与安全大类网络专科招生数,轻纺食品大类网络专科招生数,财经大类网络专科招生数,医药卫生大类网络专科招生数,旅游大类网络专科招生数,公共事业大类网络专科招生数,文化教育大类网络专科招生数,艺术设计传媒大类网络专科招生数,公安大类网络专科招生数,法律大类网络专科招生数
2021,,,,,,,,,,,,,,,,,,,,,
2020,170.688,,,,,,,,,,,,,,,,,,,,
2019,187.8561,,,,,,,,,,,,,,,,,,,,
2018,216.4704,,,,,,,,,,,,,,,,,,,,
2017,186.789,,,,,,,,,,,,,,,,,,,,
2016,144.852,,,,,,,,,,,,,,,,,,,,
2015,128.5372,1.5908,5.6013,2.4976,0.4734,1.0689,0.4873,13.2232,0.6578,10.3646,5.7853,0.2683,0.1103,37.3237,6.2032,0.6348,24.6189,11.7138,0.5505,0.095,6.8593
2014,128.0407,1.254,4.7563,3.2974,0.4481,1.5041,0.5548,15.3082,0.6175,8.376,5.0035,0.308,0.1029,37.7713,6.0411,0.5791,24.558,11.5293,0.7111,0.1189,6.4551
2013,139.6351,2.0392,6.1434,3.7035,0.4638,2.0426,0.5718,15.0051,0.6646,7.7157,5.3304,0.3331,0.1305,40.3331,6.255,0.6566,28.1682,13.4603,0.6759,0.0935,7.888
2012,126.777,2.377,6.6809,2.9477,0.4261,1.6709,0.5245,11.9679,0.6327,6.0222,5.1616,0.3157,0.0827,38.5416,5.1305,0.5511,25.4572,12.2482,0.5727,0.1081,7.7347
2011,122.7526,2.9833,6.2403,2.9172,0.3484,1.2174,0.6609,10.0235,0.5941,5.5933,5.1214,0.1947,0.108,38.355,5.1826,0.4768,23.4139,12.9892,0.7475,0.105,8.4634
2010,110.7866,,,,,,,,,,,,,,,,,,,,
2009,107.44,,,,,,,,,,,,,,,,,,,,
2008,93.628,,,,,,,,,,,,,,,,,,,,
2007,73.6392,,,,,,,,,,,,,,,,,,,,
2006,62.2986,,,,,,,,,,,,,,,,,,,,
2005,48.244,,,,,,,,,,,,,,,,,,,,
2004,41.1514,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
