年份,职业技术培训机构注册学生数,职工技术培训学校(机构)注册学生数,教育部门和集体办职工技术培训学校(机构)注册学生数,其他部门办职工技术培训学校(机构)注册学生数,民办职工技术培训学校(机构)注册学生数,农村成人文化技术培训学校(机构)注册学生数,教育部门和集体办农村成人文化技术培训学校(机构)注册学生数,县办农村成人文化技术培训学校(机构)注册学生数,乡办农村成人文化技术培训学校(机构)注册学生数,村办农村成人文化技术培训学校(机构)注册学生数,其他部门办农村成人文化技术培训学校(机构)注册学生数,民办农村成人文化技术培训学校(机构)注册学生数,其他培训机构(含社会培训机构)注册学生数,教育部门和集体办其他培训机构(含社会培训机构)注册学生数,其他部门办其他培训机构(含社会培训机构)注册学生数,民办其他培训机构(含社会培训机构)注册学生数
2021,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,
2017,4206.4949,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,
2015,4218.3931,,,,,,,,,,,,,,,
2014,4237.722,,,,,,,,,,,,,,,
2013,4515.9599,305.5051,144.9522,130.1886,30.3643,3043.0375,2869.3051,300.6223,1411.9215,1156.7613,145.3188,28.4136,1167.4173,118.561,164.0738,884.7825
2012,4567.3538,292.4983,136.2131,135.244,21.0412,3176.0829,3059.0268,336.2765,1460.5415,1262.2088,96.9879,20.0682,1098.7726,101.3464,177.8913,819.5349
2011,5021.1202,336.504,181.1091,119.3335,36.0614,3496.953,3402.4779,279.7667,1674.9524,1447.7588,75.9777,18.4974,1187.6632,103.732,183.034,900.8972
2010,4925.0045,308.2107,147.7691,132.6533,27.7883,3424.2222,3342.0863,283.5373,1618.1684,1440.3806,73.4965,8.6394,1192.5716,96.5624,202.6607,893.3485
2009,5013.0275,295.6545,127.8349,142.016,25.8036,3723.9079,3611.9903,188.8879,1695.2107,1727.8917,81.1878,30.7298,993.4651,85.303,119.7692,788.3929
2008,5019.5384,267.5288,103.3272,133.8448,30.3568,3694.8254,3584.9634,138.9548,1672.5715,1773.4371,83.6622,26.1998,1057.1842,111.0135,167.9721,778.1986
2007,5067.7419,251.5951,102.6578,114.021,34.9163,3787.6621,3673.5821,116.4527,1687.0676,1870.0618,96.127,17.953,1028.4847,77.1029,119.5681,831.8137
2006,5078.6504,192.1148,81.4443,78.5461,32.1244,3842.3598,3745.5404,125.1977,1691.7706,1928.5721,84.7293,12.0901,1044.1758,88.3785,123.1765,832.6208
2005,4882.7147,172.3388,95.0537,50.2024,27.0827,3729.3423,3596.883,96.6532,1538.3126,1961.9172,74.7538,57.7055,981.0336,102.8734,73.4478,804.7124
2004,5748.1382,185.2344,98.6729,68.8206,17.7409,4684.2345,4468.2395,837.564,1585.249,2045.4265,204.2556,11.7394,878.6693,82.1187,146.9774,649.5732
2003,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
