年份,职业技术培训机构毕(结)业生数,职工技术培训学校(机构)结业学生数,教育部门和集体办职工技术培训学校(机构)结业学生数,其他部门办职工技术培训学校(机构)结业学生数,民办职工技术培训学校(机构)结业学生数,农村成人文化技术培训学校(机构)结业学生数,教育部门和集体办农村成人文化技术培训学校(机构)结业学生数,县办农村成人文化技术培训学校(机构)结业学生数,乡办农村成人文化技术培训学校(机构)结业学生数,村办农村成人文化技术培训学校(机构)结业学生数,其他部门办农村成人文化技术培训学校(机构)结业学生数,民办农村成人文化技术培训学校(机构)结业学生数,其他培训机构(含社会培训机构)结业学生数,教育部门和集体办其他培训机构(含社会培训机构)结业学生数,其他部门办其他培训机构(含社会培训机构)结业学生数,民办其他培训机构(含社会培训机构)结业学生数
2021,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,
2017,4280.0768,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,
2015,4379.4966,,,,,,,,,,,,,,,
2014,4479.5293,,,,,,,,,,,,,,,
2013,4715.5968,294.5587,142.4911,124.6713,27.3963,3416.0351,3189.0903,309.4009,1576.9477,1302.7417,200.1394,26.8054,1005.003,111.6926,152.7813,740.5291
2012,4823.3605,294.6075,140.3178,128.8111,25.4786,3563.1908,3407.6594,355.231,1644.5494,1407.879,133.4033,22.1281,965.5622,87.6231,146.0309,731.9082
2011,5146.5876,330.2902,180.37,114.031,35.8892,3794.6868,3679.1291,309.2944,1834.2746,1535.5601,97.4045,18.1532,1021.6106,99.1477,179.557,742.9059
2010,5252.2921,306.7011,148.3101,128.8757,29.5153,3813.0624,3711.7096,262.8363,1829.8556,1619.0177,91.8546,9.4982,1132.5286,91.6663,208.0117,832.8506
2009,5430.5125,302.7947,136.0823,140.0435,26.6689,4130.668,4007.1766,181.3254,1910.559,1915.2922,93.9607,29.5307,997.0498,88.1532,153.3502,755.5464
2008,5720.9955,269.3125,104.8307,133.6952,30.7866,4358.2242,4241.0674,150.6701,2047.7025,2042.6948,90.7119,26.4449,1093.4588,118.3997,203.237,771.8221
2007,6003.1763,264.6635,111.8186,118.5371,34.3078,4670.3495,4553.7481,121.4242,2108.8784,2323.4455,99.5351,17.0663,1068.1633,74.7817,118.0704,875.3112
2006,5733.6156,225.1861,108.1323,84.3502,32.7036,4520.5798,4427.7451,134.2845,1978.9469,2314.5137,82.7263,10.1084,987.8497,82.6118,117.9261,787.3118
2005,5934.188,193.3667,105.3748,61.228,26.7639,4793.1805,4687.046,124.6986,2005.3644,2556.983,72.6818,33.4527,947.6408,99.9029,88.0572,759.6807
2004,6176.9903,248.0275,138.9329,90.5512,18.5434,5127.1952,4921.2599,210.191,2045.4879,2665.581,197.5456,8.3897,801.7676,71.9832,127.158,602.6264
2003,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
